Date,Study_Time_Hours,Attention_Span_Minutes,Past_Score_Percentage,Quiz_Score_Percentage,Study_Pattern,Distraction_Level,Study_Hours_per_Week,Stress_Level (1-10),Midterm_Score,Quizzes_Avg,Subject,Final_Score
2026-03-07,0.0,0.0,3.0,8.0,Morning,,,,,,,
2026-03-07,0.0,0.0,3.0,8.0,Morning,,,,,,,
2026-03-07,0.0,0.0,9.0,14.0,Morning,,,,,,,
2026-03-14,0.0,0.0,33.0,38.0,Morning,Medium,,,,,,
2026-03-07,1.5,90.0,78.0,83.0,Morning,Medium,,,,,,
2026-03-07,0.0,0.0,20.0,25.0,Morning,,,,,,,
2026-03-07,0.0,0.0,62.0,67.0,Morning,,,,,,,
2026-03-07,0.0,0.0,62.0,67.0,Morning,,,,,,,
2026-03-07,1.5,90.0,80.0,85.0,Morning,Low,,,,,,
2026-03-07,1.5,90.0,80.0,85.0,Morning,Low,,,,,,
2026-03-07,1.5,90.0,78.0,83.0,Morning,Medium,,,,,,
2026-03-07,1.5,90.0,22.0,27.0,Morning,Low,,,,,,
2026-03-07,1.5,90.0,22.0,27.0,Morning,Low,,,,,,
2026-03-07,1.3333333333333333,80.0,89.0,94.0,Morning,Low,,,,,,
2026-03-07,1.0,60.0,87.0,92.0,Morning,Low,,,,,,
2026-03-07,2.0,120.0,92.0,97.0,Evening,,,,,,,
2026-03-08,1.5,90.0,76.0,81.0,Morning,Low,,,,,,
2026-03-20,0.0,0.0,-5.0,0.0,Morning,,,,,,,
2026-03-12,0.0,0.0,28.0,33.0,Morning,,,,,,,
2026-03-12,,,,,,,20.0,6.0,70.0,75.0,Mathematics,75.0
2026-03-19,,,,,,,20.05,6.0,70.0,75.0,Mathematics,75.0
2026-03-19,,,,,,,20.05,6.0,70.0,91.0,Mathematics,91.0
2026-03-12,,,,,,,20.0,5.0,70.0,45.0,Mathematics,45.0
2026-03-12,,,,,,,20.0,5.0,70.0,75.0,Mathematics,75.0
2026-03-12,,,,,,,20.0,5.0,70.0,5.0,Mathematics,5.0
2026-03-28,,,,,,,20.0,5.0,70.0,75.0,Mathematics,75.0
2026-03-20,,,,,,,20.0,3.0,70.0,75.0,Mathematics,75.0
2026-03-13,,,,,,,20.0,5.0,70.0,75.0,Mathematics,75.0
2026-03-14,,,,,,,20.0,6.0,70.0,75.0,Mathematics,75.0
2026-03-14,,,,,,,20.0,6.0,70.0,75.0,Mathematics,75.0
2026-03-20,,,,,,,20.0,5.0,80.0,84.0,Science,84.0
2026-03-14,,,,,,,20.0,5.0,70.0,75.0,Mathematics,75.0
2026-03-14,,,,,,,20.0,5.0,70.0,75.0,Mathematics,75.0
2026-03-14,,,,,,,20.0,5.0,70.0,75.0,Mathematics,75.0
2026-03-29,,,,,,,20.0,5.0,70.0,75.0,Mathematics,75.0
